                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.9699,                 0.3936,                0.13964,                 1.2502,                 1.3908,                0.83166,                0.68519,                0.77164,                0.36079,                0.91615,                0.75926,                0.90213,                0.82902,                 1.7287,                0.33411,                0.02326,                 1.2586,                 1.3852,               0.001868,               0.001868,               0.001868
                     23,                 1.9704,                0.35126,                0.25697,                 1.3348,                 1.4019,                0.65562,                0.75926,                0.78953,                0.41158,                0.82834,                 0.7037,                0.86944,                0.77907,                 1.6576,                0.35116,                0.02568,                 1.1408,                 1.3362,              0.0018614,              0.0018614,              0.0018614
                     24,                  1.775,                0.36405,                0.14851,                 1.2206,                 1.3417,                0.73932,                0.68519,                0.74223,                0.36473,                 0.7237,                0.83333,                0.85622,                0.77104,                 1.6466,                0.34256,                0.02833,                 1.2943,                  1.317,              0.0018548,              0.0018548,              0.0018548
                     25,                  1.812,                0.34804,                0.15508,                 1.2057,                 1.3637,                0.69779,                0.77778,                0.71542,                0.29875,                0.79064,                0.83926,                0.86031,                0.76879,                 2.0512,                0.32463,                0.03871,                 1.6274,                  1.587,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.7488,                0.33331,                 0.1102,                 1.1711,                 1.2898,                0.71171,                0.77778,                0.76904,                0.36337,                0.79543,                0.87037,                0.89189,                0.80975,                 1.8727,                0.36165,                0.03678,                 1.3227,                 1.4144,              0.0018416,              0.0018416,              0.0018416
                     27,                  1.689,                0.28673,                0.11385,                 1.1482,                 1.2885,                0.78715,                0.82186,                0.84936,                0.40431,                 0.8575,                0.89155,                0.93764,                0.85567,                 1.7684,                0.34663,                 0.0256,                    1.2,                 1.3515,               0.001835,               0.001835,               0.001835
                     28,                 1.7275,                 0.3346,                0.13712,                 1.1086,                 1.2733,                0.70938,                0.67811,                0.69624,                0.28465,                0.73113,                0.90644,                0.86206,                0.77675,                 2.0401,                 0.3088,                0.02858,                 1.6085,                 1.6475,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.7791,                0.33206,                0.19252,                 1.1636,                  1.351,                0.76178,                0.76993,                0.79883,                0.37403,                0.88819,                0.85185,                0.91545,                0.83556,                 1.7406,                0.30246,                0.02766,                  1.211,                  1.408,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.7608,                0.33933,                0.15224,                 1.1409,                  1.352,                0.81412,                0.61111,                0.72768,                 0.3327,                0.90569,                0.71143,                0.86995,                0.80347,                 2.0221,                0.28968,                0.03343,                 1.2187,                   1.72,              0.0018152,              0.0018152,              0.0018152
                     31,                  1.805,                0.30285,                0.15363,                 1.1816,                 1.3659,                  0.754,                0.64815,                0.73455,                0.36187,                0.82678,                0.72222,                0.85612,                0.78837,                 1.8482,                0.28848,                0.03792,                 1.1776,                 1.5745,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.7668,                0.31137,                0.15266,                 1.1729,                 1.3332,                0.76588,                0.83333,                0.83065,                0.42357,                0.85853,                0.90741,                0.91569,                0.83505,                 1.7696,                0.29481,                0.02508,                 1.1021,                  1.468,               0.001802,               0.001802,               0.001802
                     33,                 1.7148,                0.28449,                0.14095,                  1.091,                 1.3225,                0.73747,                 0.7963,                 0.8189,                0.40575,                0.80044,                0.87037,                 0.8996,                0.83525,                 1.7758,                0.27593,                0.02512,                 1.0958,                  1.462,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.5697,                 0.3331,                0.11378,                0.99268,                 1.2082,                0.86984,                0.74258,                0.83525,                0.41356,                0.86021,                0.88889,                0.91088,                0.86549,                 1.7762,                0.27269,                0.02493,                 1.0755,                  1.429,              0.0017888,              0.0017888,              0.0017888
                     35,                  1.619,                0.29698,                0.11821,                0.99949,                 1.2299,                0.89804,                0.81557,                 0.8778,                0.41027,                0.94739,                0.88889,                0.93575,                0.89716,                 1.8752,                0.25454,                0.02302,                  1.131,                 1.4877,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.7322,                0.27611,                0.15739,                0.98835,                 1.3079,                0.75882,                0.85185,                0.84336,                 0.4345,                0.80155,                0.90741,                0.89909,                0.85211,                 1.7369,                0.26031,                0.01902,                 1.0259,                 1.3578,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.7349,                 0.3134,                0.09785,                0.97389,                 1.3132,                0.76703,                0.77778,                0.79827,                0.41174,                0.81675,                0.83333,                 0.8797,                0.84851,                 1.7112,                0.23577,                0.02736,                 1.1932,                 1.3414,               0.001769,               0.001769,               0.001769
                     38,                 1.6396,                0.27529,                0.10593,                 1.0175,                  1.289,                0.81203,                0.72003,                0.82504,                0.43917,                 0.8314,                0.82194,                0.89754,                0.86018,                  1.627,                0.25632,                0.02127,                 1.1393,                 1.3127,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.5899,                0.27092,                0.09474,                0.97999,                 1.2163,                0.65883,                0.74074,                0.78424,                 0.3845,                0.71884,                0.81481,                0.86822,                0.84978,                 1.8527,                0.22495,                0.03246,                 1.2371,                 1.4464,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.7039,                0.27219,                0.09818,                 1.0821,                 1.2791,                0.88656,                0.68519,                0.87746,                 0.4331,                 0.7339,                0.87037,                0.89064,                0.85974,                 1.7435,                0.22646,                0.02242,                 1.0819,                 1.4136,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.6424,                0.28892,                0.11717,                0.99776,                 1.2537,                0.88549,                0.77778,                0.86013,                0.42392,                0.90008,                0.85185,                0.92278,                0.88659,                 1.8417,                0.24998,                0.02516,                 1.0572,                 1.4499,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.6649,                0.27023,                 0.1472,                 1.0242,                 1.2975,                0.86116,                 0.7963,                0.87772,                0.44688,                 0.9039,                0.83333,                0.92294,                 0.8843,                 1.7346,                 0.2525,                0.01561,                 1.0394,                 1.3782,               0.001736,               0.001736,               0.001736
                     43,                 1.5487,                0.26903,                0.10487,                0.94071,                 1.2313,                0.77627,                0.85185,                  0.852,                0.45902,                0.81152,                0.88889,                0.92389,                0.89319,                 1.6985,                0.23342,                0.01902,                0.97552,                 1.3719,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.5683,                0.24819,                0.09654,                0.95673,                  1.238,                0.88153,                0.74074,                0.84544,                0.43758,                 0.8746,                0.74074,                0.87575,                0.82828,                 1.6021,                0.27423,                0.02225,                 1.0765,                  1.336,              0.0017228,              0.0017228,              0.0017228
                     45,                  1.523,                0.24861,                0.10361,                0.94941,                 1.2196,                 0.8463,                0.75926,                0.84953,                0.43569,                0.82462,                0.78373,                0.90842,                0.86282,                 1.5915,                0.25124,                0.01609,                 1.1247,                 1.3086,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.5388,                0.25689,                0.09298,                0.96201,                 1.2416,                0.86645,                0.77778,                0.90521,                 0.4556,                0.88209,                0.90741,                0.95434,                  0.913,                 1.6282,                0.21387,                0.00988,                 1.1302,                 1.3424,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.6146,                0.21981,                0.14677,                0.98597,                 1.2759,                0.97597,                0.75222,                0.89421,                0.45623,                0.95328,                0.81481,                0.93226,                0.90398,                 1.6456,                0.20736,                0.01598,                0.96673,                 1.3245,               0.001703,               0.001703,               0.001703
                     48,                 1.4888,                0.23165,                0.12098,                0.92462,                  1.212,                0.89664,                0.83333,                0.88475,                0.41227,                0.95061,                0.88889,                0.94244,                0.91298,                 1.8282,                0.21709,                0.02579,                0.98215,                 1.4342,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.6284,                0.25294,                0.12476,                 1.0055,                 1.2815,                0.90232,                0.83333,                0.90299,                0.48496,                      1,                0.86628,                 0.9517,                0.92075,                 1.6204,                 0.2093,                0.02077,                0.94748,                 1.3382,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.5187,                0.23064,                0.08596,                0.94727,                  1.178,                0.79422,                0.78627,                 0.8811,                0.42892,                0.86496,                0.92593,                0.94448,                0.90992,                 1.7007,                0.20057,                0.02322,                 1.1014,                 1.3814,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.5896,                0.21795,                0.10167,                0.95963,                 1.2347,                 0.8105,                0.79211,                0.84746,                0.46896,                0.92399,                0.90057,                0.94973,                0.90056,                 1.6431,                0.21615,                0.02156,                0.98471,                 1.3304,              0.0016766,              0.0016766,              0.0016766
                     52,                  1.584,                0.23745,                0.09556,                  0.946,                 1.2242,                0.84681,                0.74074,                0.84725,                0.40622,                0.94995,                0.83333,                0.93736,                0.88942,                 1.7373,                0.24773,                0.03311,                 1.0104,                 1.4015,                0.00167,                0.00167,                0.00167
                     53,                  1.589,                0.20651,                 0.1257,                 0.9456,                 1.2025,                 0.8293,                0.80977,                0.87789,                0.45073,                0.90507,                0.88286,                0.95642,                0.90908,                 1.7044,                0.20646,                0.02101,                 1.0424,                 1.3478,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.4262,                0.23489,                0.13298,                0.87277,                 1.1873,                0.79884,                0.75926,                0.83493,                0.37368,                0.91334,                0.87037,                0.95203,                0.92036,                 2.0752,                0.22112,                0.02565,                 1.1145,                 1.6225,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.4971,                0.20729,                0.13655,                0.92808,                 1.2316,                0.79212,                0.84682,                0.85283,                0.38932,                0.86141,                0.92089,                0.93748,                0.89894,                 1.7314,                 0.2358,                0.02349,                 1.0814,                 1.4192,              0.0016502,              0.0016502,              0.0016502
                     56,                   1.56,                0.22663,                0.11462,                0.93042,                 1.2098,                0.83228,                 0.7963,                0.86513,                0.43144,                0.85556,                 0.8776,                0.93433,                  0.897,                 1.6868,                0.21234,                0.01661,                 1.0389,                 1.3666,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.5305,                0.21097,                 0.0913,                0.90917,                 1.2083,                0.88476,                0.75926,                0.85812,                0.45102,                0.91025,                0.83333,                0.94214,                0.91643,                 1.5895,                0.21544,                0.01773,                0.94618,                 1.3204,               0.001637,               0.001637,               0.001637
                     58,                 1.4603,                0.19938,                0.11865,                 0.8305,                 1.1874,                0.93936,                0.72222,                0.82189,                0.41121,                0.97622,                0.76033,                0.91197,                0.87813,                 1.7251,                0.23094,                0.03514,                 1.0016,                 1.3994,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.5567,                0.22661,                0.13937,                0.90267,                 1.2118,                0.88215,                0.69319,                0.78427,                0.38729,                0.95334,                0.75674,                0.87695,                0.85019,                 1.7852,                0.22323,                0.04711,                 1.0237,                 1.4238,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.5444,                0.17071,                0.11895,                0.92426,                 1.2105,                0.88598,                0.75926,                0.86804,                 0.4498,                0.91523,                0.79977,                0.90673,                0.87112,                  1.612,                0.19782,                0.02692,                0.95153,                 1.2957,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.5377,                0.19158,                0.09719,                0.92777,                 1.1895,                0.95842,                0.85368,                0.92092,                0.48496,                0.98575,                0.90741,                0.96203,                0.93755,                 1.5702,                0.19775,                 0.0123,                0.87538,                 1.2733,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.4074,                0.15524,                0.11694,                0.85157,                 1.1218,                0.84956,                0.83666,                0.90386,                0.44107,                0.94155,                0.89493,                0.96218,                0.93492,                  1.675,                0.19409,                0.00982,                0.91184,                 1.2974,               0.001604,               0.001604,               0.001604
                     63,                 1.3612,                0.17054,                0.09842,                0.79848,                 1.1343,                0.89325,                0.83333,                0.91494,                0.46882,                0.94291,                0.91765,                0.96765,                0.94753,                 1.6929,                0.18996,                0.00764,                0.92613,                 1.3564,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.4134,                 0.1755,                0.11924,                 0.8553,                 1.1486,                0.93037,                 0.7963,                0.90365,                0.47122,                0.99721,                0.85185,                0.95823,                0.92084,                 1.7045,                0.22353,                 0.0074,                0.93585,                 1.3751,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.4191,                0.20984,                0.11327,                0.86419,                 1.1653,                0.82018,                0.87037,                 0.9042,                0.42538,                0.95721,                0.82867,                0.95888,                0.92049,                 1.7694,                0.20428,                0.00615,                0.95855,                 1.4288,              0.0015842,              0.0015842,              0.0015842
