                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.2506,                0.15091,                0.08891,                0.70993,                 1.1081,                0.91462,                0.87037,                0.95309,                0.48496,                0.93443,                0.88889,                0.96497,                0.95465,                 1.6548,                  0.127,                0.00858,                0.78667,                 1.3261,               0.001373,               0.001373,               0.001373
                     98,                 1.3334,                0.16462,                0.13242,                0.72815,                 1.0967,                0.82009,                0.87037,                0.86231,                0.42426,                0.92153,                0.92593,                 0.9479,                0.92866,                 1.8348,                0.12882,                0.00911,                0.92509,                  1.496,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.2896,                0.14367,                0.09523,                0.75625,                 1.0965,                 0.8905,                0.85185,                0.88893,                0.44634,                0.95015,                0.90741,                0.95508,                0.93938,                 1.7252,                0.13288,                0.00754,                0.85464,                 1.4084,              0.0013598,              0.0013598,              0.0013598
                    100,                 1.2736,                 0.1475,                  0.148,                0.71708,                 1.0908,                0.89578,                 0.7963,                0.85251,                0.42884,                 0.9596,                0.85185,                0.92859,                0.91004,                 1.7927,                0.14774,                0.01413,                0.95462,                 1.3983,              0.0013532,              0.0013532,              0.0013532
                    101,                  1.285,                0.13184,                0.06387,                0.72136,                 1.0804,                0.86713,                0.81481,                0.85618,                0.44636,                0.95536,                0.88889,                0.94146,                0.91417,                 1.7247,                0.14796,                0.01114,                0.91402,                 1.3555,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.3517,                0.14769,                0.08587,                 0.7342,                 1.1105,                0.90082,                0.85185,                0.89004,                 0.4353,                0.96493,                0.90741,                0.95445,                0.91926,                 1.6734,                0.16125,                0.00627,                0.87666,                 1.3731,                0.00134,                0.00134,                0.00134
                    103,                 1.2483,                 0.1718,                0.08958,                0.74565,                  1.078,                0.89096,                 0.7963,                0.88102,                0.43532,                0.95992,                0.88717,                0.96759,                0.94124,                 1.7493,                0.15832,                0.00652,                0.95609,                 1.3838,              0.0013334,              0.0013334,              0.0013334
                    104,                 1.2774,                0.14171,                0.07856,                0.75207,                 1.0809,                0.91688,                 0.7963,                0.85224,                0.44467,                0.96097,                0.83333,                0.95934,                0.92093,                 1.6244,                0.18353,                0.01195,                0.92107,                  1.299,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.2901,                0.15006,                0.07312,                0.72931,                 1.0947,                0.88993,                0.81481,                0.86179,                0.41022,                 0.9414,                0.87037,                0.95151,                0.91692,                 1.7282,                0.16171,                0.01278,                0.95734,                 1.3479,              0.0013202,              0.0013202,              0.0013202
                    106,                 1.2812,                0.13393,                0.07547,                0.70848,                 1.0992,                 0.8994,                0.87037,                0.92708,                0.48958,                0.93832,                0.90741,                0.97368,                0.95506,                 1.6472,                0.12856,                0.00681,                0.81317,                 1.3438,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.2218,                0.14331,                0.08871,                0.70871,                 1.0682,                0.90913,                0.87037,                0.93457,                0.52782,                0.94782,                0.90741,                 0.9656,                 0.9477,                 1.5871,                0.12997,                0.00712,                0.76881,                 1.3027,               0.001307,               0.001307,               0.001307
                    108,                 1.2629,                0.12992,                0.06986,                0.70148,                 1.0476,                 0.8895,                0.88889,                0.95026,                0.51173,                0.97202,                0.88889,                 0.9647,                0.94066,                 1.6491,                0.15282,                 0.0109,                0.78123,                 1.2971,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.2536,                0.14408,                0.07637,                0.75337,                 1.0651,                0.89428,                0.90741,                0.96093,                0.53781,                0.91253,                0.92593,                0.96468,                0.95709,                 1.5869,                0.13975,                0.00886,                0.76175,                 1.2636,              0.0012938,              0.0012938,              0.0012938
                    110,                 1.2529,                0.13036,                0.05487,                0.66985,                 1.0507,                0.91387,                0.83333,                0.92549,                0.49005,                0.94093,                0.88509,                0.95521,                0.94767,                 1.7073,                0.11942,                0.00869,                0.80725,                 1.3645,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.2427,                 0.1254,                0.08273,                0.67421,                 1.0415,                0.89311,                0.81481,                0.91662,                 0.4895,                0.93491,                0.85185,                0.94476,                0.93513,                 1.5938,                0.12763,                0.01285,                0.81459,                 1.2914,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.2366,                0.12871,                0.10101,                0.70489,                 1.0357,                0.89062,                0.75401,                0.85885,                 0.4138,                0.88221,                0.88889,                0.92053,                0.90029,                 1.8244,                0.14567,                0.02388,                0.97062,                 1.4036,               0.001274,               0.001274,               0.001274
                    113,                 1.2469,                0.12584,                0.07662,                0.72233,                 1.0546,                0.90561,                0.83333,                0.90167,                0.47673,                0.94664,                0.87037,                0.94358,                0.92182,                 1.6543,                0.14428,                0.01851,                 0.8986,                 1.3497,              0.0012674,              0.0012674,              0.0012674
                    114,                 1.3145,                0.13508,                0.09097,                 0.7492,                 1.0701,                0.85316,                0.88889,                0.92038,                0.50845,                0.92582,                0.87037,                0.94698,                0.92551,                 1.5497,                0.14541,                0.00752,                0.83747,                 1.3042,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.2281,                0.12201,                0.09901,                0.71739,                 1.0541,                0.82575,                0.83333,                0.86926,                0.43647,                0.89979,                0.90741,                0.94615,                0.90765,                 1.7078,                0.15434,                0.00733,                0.89989,                 1.3876,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.2955,                0.13127,                 0.1062,                0.75899,                 1.1069,                0.90523,                 0.7963,                0.88413,                0.47742,                0.96931,                0.85185,                0.95852,                0.91636,                  1.653,                 0.1728,                0.00954,                0.82155,                 1.3753,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.2345,                0.13602,                0.07235,                0.72363,                 1.0578,                0.86902,                 0.7963,                0.86925,                0.46008,                0.95966,                0.88107,                0.95656,                 0.9291,                 1.6419,                0.15273,                0.01015,                0.82732,                 1.3872,               0.001241,               0.001241,               0.001241
                    118,                 1.2161,                0.13696,                 0.0786,                0.68719,                 1.0877,                0.78673,                0.81982,                0.83916,                0.41259,                 0.9419,                0.90071,                0.95645,                0.93526,                 1.8733,                0.13388,                0.01255,                 0.9132,                 1.5175,              0.0012344,              0.0012344,              0.0012344
                    119,                 1.1197,                0.13271,                0.11427,                0.68335,                 1.0303,                0.85046,                 0.7963,                0.84951,                0.42667,                0.96945,                0.90741,                0.97457,                  0.954,                 1.8694,                0.13027,                0.01469,                0.84873,                 1.5077,              0.0012278,              0.0012278,              0.0012278
                    120,                 1.1534,                0.11127,                0.07451,                0.66058,                 1.0444,                0.82352,                 0.7963,                0.85564,                0.42078,                0.94004,                0.90741,                0.96721,                0.94277,                 1.8855,                0.12823,                 0.0163,                0.86188,                 1.5472,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.1583,                0.12409,                0.06138,                0.64616,                 1.0512,                0.82904,                0.77778,                0.86295,                0.43775,                0.95098,                0.88889,                0.96379,                0.94501,                 1.8377,                0.11904,                0.01049,                0.85294,                 1.5115,              0.0012146,              0.0012146,              0.0012146
                    122,                 1.0931,                0.13476,                0.06857,                0.67349,                 1.0119,                0.88458,                0.77778,                0.90204,                0.49018,                0.94907,                0.83333,                0.96371,                 0.9517,                 1.7144,                0.11416,                0.00588,                0.80185,                 1.3956,               0.001208,               0.001208,               0.001208
                    123,                 1.1739,                0.14512,                0.12246,                0.66943,                 1.0283,                0.91859,                0.83583,                0.93533,                0.47438,                0.95555,                0.88889,                0.95963,                0.94234,                 1.7579,                0.12403,                0.00612,                0.81281,                 1.4277,              0.0012014,              0.0012014,              0.0012014
                    124,                 1.2619,                0.14432,                0.08671,                0.75134,                  1.099,                0.93521,                0.80199,                0.91398,                0.46312,                0.93929,                0.87037,                0.95817,                0.93727,                 1.7262,                 0.1277,                0.00516,                0.82726,                 1.3896,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.2656,                0.13473,                0.08081,                0.78131,                 1.0583,                0.95554,                0.79594,                0.91497,                0.45816,                0.99628,                0.85185,                0.96365,                0.94603,                 1.7338,                0.11552,                 0.0043,                0.81666,                 1.3589,              0.0011882,              0.0011882,              0.0011882
                    126,                 1.1176,                 0.1113,                0.07176,                0.64649,                 1.0486,                0.88873,                0.88751,                0.90206,                0.47004,                0.93992,                0.86922,                0.93049,                0.92188,                 1.7072,                0.11384,                0.00737,                0.88598,                 1.3751,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.1971,                0.11955,                0.10152,                0.66796,                 1.0523,                0.89854,                0.82005,                0.89126,                0.46528,                0.91862,                0.83619,                0.91613,                0.90632,                 1.6918,                0.12522,                0.01311,                0.92729,                 1.3673,               0.001175,               0.001175,               0.001175
                    128,                 1.2138,                 0.1128,                0.08373,                 0.7104,                 1.0463,                0.85318,                 0.7963,                0.86222,                 0.4393,                0.95412,                0.83333,                0.94468,                0.92386,                 1.7788,                0.14748,                0.01248,                0.86904,                 1.4033,              0.0011684,              0.0011684,              0.0011684
                    129,                 1.2127,                0.12455,                 0.0557,                0.69446,                 1.0456,                0.86418,                 0.7963,                0.87482,                0.44656,                0.97077,                0.88889,                0.95973,                0.94047,                 1.6981,                0.13541,                0.00704,                0.86551,                 1.3522,              0.0011618,              0.0011618,              0.0011618
                    130,                 1.1368,                0.14868,                0.08036,                0.67294,                 1.0396,                0.84003,                0.92593,                0.95002,                0.47954,                0.90343,                0.90741,                0.97846,                0.96914,                 1.6928,                0.11228,                0.00374,                0.75975,                 1.3843,              0.0011552,              0.0011552,              0.0011552
                    131,                 1.1796,                0.12169,                0.03561,                0.65817,                 1.0065,                0.88128,                0.85185,                0.93316,                0.46756,                0.91974,                0.88889,                0.97416,                0.96688,                 1.7862,                0.11455,                0.00314,                0.78048,                 1.4083,              0.0011486,              0.0011486,              0.0011486
                    132,                 1.1995,                0.11917,                0.09046,                0.66932,                 1.0576,                0.93736,                0.83135,                0.93058,                0.51139,                0.95824,                0.84987,                0.95966,                0.95017,                 1.6075,                0.12235,                0.00335,                0.74534,                 1.3062,               0.001142,               0.001142,               0.001142
                    133,                 1.1578,                0.12994,                0.10555,                0.65625,                 1.0473,                 0.9709,                0.83333,                0.95024,                 0.4894,                0.97872,                0.85183,                0.96726,                0.94584,                  1.693,                0.13684,                0.00616,                0.75731,                 1.3473,              0.0011354,              0.0011354,              0.0011354
                    134,                 1.0988,                0.12255,                0.08507,                0.65163,                0.99761,                0.93745,                0.83261,                0.90519,                0.47024,                      1,                0.88716,                0.95224,                0.93256,                 1.7236,                0.15408,                0.00877,                0.81017,                 1.3413,              0.0011288,              0.0011288,              0.0011288
                    135,                 1.0939,                0.10464,                0.06302,                0.63703,                0.99836,                0.91839,                0.85185,                0.90003,                0.45569,                0.97933,                0.90741,                0.95625,                0.93806,                 1.7657,                0.14418,                0.01054,                0.84118,                 1.3686,              0.0011222,              0.0011222,              0.0011222
                    136,                 1.1685,                 0.1325,                0.11784,                0.67467,                 1.0502,                 0.8875,                0.90741,                0.92343,                0.46141,                0.96213,                0.92593,                0.97813,                0.95764,                  1.699,                0.14602,                0.00613,                0.80243,                 1.3495,              0.0011156,              0.0011156,              0.0011156
                    137,                 1.0972,                 0.1357,                0.09125,                0.66827,                 1.0053,                0.94334,                0.85185,                0.94699,                0.48164,                0.91177,                0.95694,                0.98487,                0.97818,                 1.6345,                0.12957,                0.00343,                0.72937,                 1.3034,               0.001109,               0.001109,               0.001109
                    138,                 1.0791,                0.10727,                0.07124,                0.61926,                0.99993,                0.93919,                0.85808,                0.94069,                0.46588,                0.98011,                0.91261,                0.97836,                 0.9714,                 1.5952,                0.10526,                0.00465,                0.71914,                 1.2925,              0.0011024,              0.0011024,              0.0011024
                    139,                 1.1598,                0.11402,                0.11108,                0.66396,                 1.0226,                0.90839,                0.85185,                 0.9059,                0.47831,                0.96046,                0.89984,                0.97198,                0.96793,                 1.5849,                0.10455,                0.00653,                 0.7213,                 1.3093,              0.0010958,              0.0010958,              0.0010958
                    140,                 1.0962,                 0.1086,                0.06985,                0.62142,                0.99903,                0.92411,                0.87037,                 0.9347,                0.44908,                0.97954,                0.88676,                0.97129,                0.96559,                 1.8094,                0.11082,                0.01017,                0.76635,                 1.4561,              0.0010892,              0.0010892,              0.0010892
                    141,                 1.0641,                0.12357,                0.08917,                0.63228,                 1.0063,                0.92415,                0.90258,                0.95595,                0.46446,                      1,                0.92243,                0.97655,                0.96678,                 1.7123,                0.11568,                0.00986,                0.74353,                 1.3541,              0.0010826,              0.0010826,              0.0010826
                    142,                 1.1619,                0.11593,                0.08241,                0.63017,                 1.0254,                 0.8058,                0.84532,                0.85727,                0.41488,                0.99583,                0.90741,                0.98159,                0.97139,                  1.826,                0.11796,                0.00791,                0.78097,                 1.3933,               0.001076,               0.001076,               0.001076
                    143,                 1.1483,                0.11061,                0.06652,                 0.6521,                 1.0247,                0.91716,                0.90741,                0.95211,                0.46142,                0.97331,                0.96296,                0.99018,                0.98086,                 1.7877,                0.11148,                0.00538,                0.75661,                 1.3575,              0.0010694,              0.0010694,              0.0010694
                    144,                 1.0809,                0.10973,                0.06954,                 0.6515,                0.99862,                0.92314,                0.90741,                0.96282,                0.46577,                0.98036,                0.92419,                0.98865,                 0.9805,                 1.8477,                0.11318,                0.00527,                0.78418,                 1.4209,              0.0010628,              0.0010628,              0.0010628
                    145,                 1.1757,                0.10287,                0.07545,                0.66159,                 1.0554,                0.87066,                0.87262,                0.90799,                0.43282,                0.94449,                0.94527,                0.98581,                0.97619,                 1.8962,                0.11556,                0.00671,                0.81363,                 1.4621,              0.0010562,              0.0010562,              0.0010562
                    146,                 1.1679,                0.11767,                0.07587,                0.66778,                 1.0481,                0.93388,                0.90741,                0.97857,                 0.5157,                0.95294,                0.92593,                0.98196,                0.96914,                 1.5854,                0.11948,                0.00621,                0.68334,                 1.2593,              0.0010496,              0.0010496,              0.0010496
                    147,                 1.1589,                0.11096,                0.10419,                0.71149,                  1.052,                0.93684,                0.85185,                0.95183,                0.50664,                0.99878,                0.90741,                0.98722,                 0.9815,                 1.6171,                0.11594,                0.00457,                0.68626,                 1.2784,               0.001043,               0.001043,               0.001043
                    148,                 1.1201,                0.11832,                  0.085,                0.60878,                 1.0072,                0.91606,                0.88889,                0.94903,                0.44835,                0.97942,                0.94444,                0.98799,                0.97477,                  1.697,                0.11583,                0.00416,                0.72315,                 1.3431,              0.0010364,              0.0010364,              0.0010364
                    149,                 1.2112,                0.13998,                0.08924,                0.68988,                 1.0256,                0.93526,                0.87037,                0.95864,                0.47877,                0.97517,                0.90741,                0.97855,                0.96391,                 1.6215,                0.12284,                0.00467,                0.72169,                 1.3067,              0.0010298,              0.0010298,              0.0010298
                    150,                 1.0822,                0.11077,                 0.0704,                0.60688,                  0.984,                 0.8969,                0.85185,                0.94115,                0.46618,                 0.9558,                0.90741,                0.97295,                0.95276,                 1.6101,                0.12901,                0.00733,                0.77612,                 1.3183,              0.0010232,              0.0010232,              0.0010232
                    151,                 1.1541,                0.11136,                0.07921,                0.63275,                  1.038,                0.90979,                0.77778,                0.90626,                0.45094,                0.92174,                0.88889,                0.95959,                0.94534,                 1.6733,                0.12616,                0.01068,                0.87814,                 1.3088,              0.0010166,              0.0010166,              0.0010166
                    152,                 1.1177,                0.10495,                0.06908,                0.61685,                 1.0102,                0.89184,                0.83333,                0.90448,                0.47767,                0.92425,                0.87037,                0.96145,                0.95066,                 1.6079,                 0.1173,                0.01085,                 0.7799,                 1.2698,                0.00101,                0.00101,                0.00101
                    153,                 1.1551,                0.11282,                 0.0926,                 0.6322,                 1.0053,                0.89674,                0.87037,                0.93524,                0.49029,                0.94308,                0.92593,                0.96925,                0.95808,                 1.6306,                0.11278,                0.00859,                0.78772,                 1.2971,              0.0010034,              0.0010034,              0.0010034
                    154,                 1.1504,                0.12338,                0.08249,                0.68035,                0.99948,                0.85559,                0.87783,                0.93252,                0.47612,                0.90771,                0.91074,                0.96931,                0.95774,                 1.6419,                0.11623,                0.00637,                0.78248,                 1.3216,              0.0009968,              0.0009968,              0.0009968
                    155,                 1.0816,                0.11049,                0.11522,                0.60887,                 1.0065,                0.88508,                0.87037,                0.89794,                 0.4543,                0.90428,                0.88889,                 0.9579,                0.94711,                 1.6129,                0.11769,                0.00811,                 0.8174,                  1.307,              0.0009902,              0.0009902,              0.0009902
                    156,                 1.0146,                0.10266,                0.05953,                0.58643,                0.95389,                0.80872,                0.87037,                0.87348,                0.47944,                0.86081,                0.92593,                 0.9487,                0.94199,                 1.5193,                0.11233,                0.00926,                0.78234,                 1.2681,              0.0009836,              0.0009836,              0.0009836
                    157,                 1.1517,                0.10418,                0.08842,                0.64793,                  1.033,                0.87981,                0.81341,                0.87254,                0.47676,                0.94657,                0.88889,                0.96889,                0.95825,                 1.5587,                0.11258,                0.01002,                0.78547,                 1.2889,               0.000977,               0.000977,               0.000977
                    158,                 1.0374,                0.10428,                0.11053,                0.62381,                0.99267,                 0.9125,                0.83333,                0.89513,                0.47633,                      1,                0.88752,                0.97268,                0.96728,                 1.7443,                0.11616,                0.00954,                 0.7737,                 1.3529,              0.0009704,              0.0009704,              0.0009704
                    159,                 1.1076,                0.11402,                0.08638,                0.61506,                  1.002,                 0.8752,                0.88889,                0.89542,                0.46571,                 0.9299,                0.94444,                0.97163,                0.96731,                 1.6949,                0.10117,                0.00594,                0.76533,                 1.3455,              0.0009638,              0.0009638,              0.0009638
